market,code,ex_ch
TSE,8261,tse_8261.tw
TSE,8422,tse_8422.tw
TSE,8464,tse_8464.tw
TSE,9105,tse_9105.tw
TSE,9904,tse_9904.tw
TSE,9910,tse_9910.tw
TSE,9921,tse_9921.tw
TSE,9925,tse_9925.tw
TSE,9939,tse_9939.tw
TSE,9945,tse_9945.tw
